image,color,sleeve,neckline,material,brand,type,pattern
00000_00.jpg,Other,Unknown,Unknown,Unknown,Levi's,Shirt,Unknown
00001_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00002_00.jpg,Black,Full Sleeves,Unknown,Unknown,Unknown,Tops,Unknown
00003_00.jpg,Navy,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00005_00.jpg,White,Unknown,Unknown,Unknown,Levi's,Shirt,Unknown
00007_00.jpg,Other,Unknown,Unknown,Unknown,Adidas,Shirt,Striped
00009_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00010_00.jpg,Black,Unknown,Unknown,Unknown,Calvin Klein,Shirt,Unknown
00011_00.jpg,Black,Unknown,Unknown,Unknown,Adidas,Unknown,Unknown
00012_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00014_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Blouse,Unknown
00015_00.jpg,White,Unknown,Unknown,Unknown,Adidas,Shirt,Striped
00016_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Blouse,Striped
00018_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Blouse,Unknown
00019_00.jpg,Black,Unknown,Unknown,Unknown,Calvin Klein,Shirt,Unknown
00022_00.jpg,Other,Full Sleeves,Round neck,Unknown,Unknown,Tops,Leopard
00023_00.jpg,Black,Full Sleeves,High neck,Unknown,Unknown,Sweater,Unknown
00024_00.jpg,Other,Unknown,Unknown,Unknown,Unknown,Tops,Striped
00025_00.jpg,Silver,Full Sleeves,High neck,Unknown,Unknown,Bodysuit,Unknown
00026_00.jpg,Blue,Unknown,Unknown,Unknown,Adidas,Unknown,Unknown
00028_00.jpg,White,Full Sleeves,Unknown,Unknown,Unknown,Tops,Unknown
00029_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Shirt,Floral
00030_00.jpg,Blue,Unknown,Unknown,Unknown,Adidas,Shirt,Unknown
00031_00.jpg,Red,Unknown,Unknown,Unknown,Adidas,Shirt,Striped
00032_00.jpg,Other,Full Sleeves,Collared,Unknown,Unknown,Shirt,Unknown
00033_00.jpg,Blue,Unknown,Unknown,Unknown,Unknown,Blouse,Floral
00036_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00038_00.jpg,Black,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00040_00.jpg,Grey,Unknown,Unknown,Unknown,Calvin Klein,Shirt,Unknown
00041_00.jpg,Other,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00042_00.jpg,Other,Unknown,Unknown,Unknown,Unknown,Tops,Floral
00043_00.jpg,Pink,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00044_00.jpg,Purple,Unknown,Unknown,Unknown,Adidas,Shirt,Unknown
00045_00.jpg,White,Unknown,Unknown,Unknown,Unknown,Shirt,Unknown
00046_00.jpg,Black,Unknown,Unknown,Unknown,Tommy Hilfiger,Shirt,Unknown
